,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target
1282,2017-06-23,155.07,18027000,-1.5387637506547893,-1,0.01088657105606261,1,153.4,-0.4432855280312952,-1,1,-1,-1
1283,2017-06-26,153.59,18049700,1.7023999999999977,1,-0.009544076868510887,-1,155.07,0.7609466692461513,1,-1,1,1
1284,2017-06-27,150.58,19360800,1.47867050510337,1,-0.019597630054039916,-1,153.59,-0.4883130412136206,-1,-1,1,-1
1285,2017-06-28,153.24,16719100,-1.537238271932164,-1,0.017665028556249185,1,150.58,0.22579359808737876,1,1,-1,1
1286,2017-06-29,151.04,23973500,0.8142894667717423,1,-0.014356564865570465,-1,153.24,-0.6264682850430748,-1,-1,1,-1
1287,2017-06-30,150.98,17666000,0.6056616194865148,1,-0.00039724576271182865,-1,151.04,0.5693855932203481,1,-1,1,1
1288,2017-07-03,148.43,13862700,2.1684682309517482,1,-0.016889654258842146,-1,150.98,0.4901311431977806,1,-1,1,1
1289,2017-07-05,150.34,14334300,-0.899328859060405,-1,0.01286801859462372,1,148.43,0.384019403085625,1,1,-1,1
1290,2017-07-06,148.82,14951800,0.1409112259276709,1,-0.010110416389517152,-1,150.34,-0.8713582546228563,-1,-1,1,-1
1291,2017-07-07,151.44,13615900,-1.4673366834170838,-1,0.017605160596694036,1,148.82,0.2889396586480358,1,1,-1,1
1292,2017-07-10,153.5,13378700,-1.1932230206341896,-1,0.013602746962493306,1,151.44,0.16508188061278395,1,1,-1,1
1293,2017-07-11,155.27,13667700,-1.238834191823698,-1,0.011530944625407269,1,153.5,-0.08469055374592538,-1,1,-1,-1
1294,2017-07-12,158.9,22739400,-1.5400345069972499,-1,0.023378630772203257,1,155.27,0.7857280865588966,1,1,-1,1
1295,2017-07-13,159.26,13929200,-0.32757969005920484,-1,0.0022655758338576693,1,158.9,-0.1006922592825655,-1,1,-1,-1
1296,2017-07-14,159.97,16371200,0.09991881596202873,1,0.004458118799447464,1,159.26,0.5462765289463799,1,1,1,1
1297,2017-07-17,159.73,12858800,0.32449297971919516,1,-0.0015002813027442663,-1,159.97,0.17503281865349823,1,-1,1,1
1298,2017-07-18,162.86,23722900,-2.0042590504822857,-1,0.019595567520190427,1,159.73,-0.043823952920549164,-1,1,-1,-1
1299,2017-07-19,164.14,26273600,-0.3362063695824824,-1,0.007859511236644856,1,162.86,0.4482377502149022,1,1,-1,1
1300,2017-07-20,164.53,18523100,0.16383495145631688,1,0.0023760204703302534,1,164.14,0.40209577190205015,1,1,1,1
1301,2017-07-21,164.43,14744000,-0.16447368421053254,-1,-0.0006077918920561753,-1,164.53,-0.22488300006078196,-1,-1,-1,-1
1302,2017-07-24,166.0,17367000,-0.8260447035957322,-1,0.00954813598491766,1,164.43,0.12771392081735664,1,1,-1,1
1303,2017-07-25,165.28,15383200,-0.16362644688201336,-1,-0.00433734939759034,-1,166.0,-0.5963855421686801,-1,-1,-1,-1
1304,2017-07-26,165.61,35236900,0.24094934040116694,1,0.0019966118102614505,1,165.28,0.4416747337850858,1,1,1,1
1305,2017-07-27,170.44,68910700,2.438465941614191,1,0.02916490550087536,1,165.61,5.488798985568489,1,1,1,1
1306,2017-07-28,172.45,24557600,-1.9991719406163102,-1,0.011793006336540568,1,170.44,-0.8038019244308874,-1,1,-1,-1
1307,2017-07-31,169.25,25478900,1.5988372093023258,1,-0.018556103218324127,-1,172.45,-0.2609452015076768,-1,-1,1,-1
1308,2017-08-01,169.86,14385000,-0.023554351666482433,-1,0.003604135893648497,1,169.25,0.3367799113737035,1,1,-1,1
1309,2017-08-02,169.3,17433800,0.5871990604815032,1,-0.0032968326857412134,-1,169.86,0.25903685387966424,1,-1,1,1
